#Wavelength(A)  EA(cm2) Filtername
1700	4.08	N242W
1750	2.36	N242W
1823	0.68	N242W
1879	1.28	N242W
1937	1.97	N242W
2000	6.41	N242W
2030	27.65	N242W
2067	51.97	N242W
2138	53.61	N242W
2214	56.25	N242W
2296	58.01	N242W
2385	59.11	N242W
2461	56.09	N242W
2499	55.47	N242W
2537	54.76	N242W
2550	54.29	N242W
2600	51.9	N242W
2650	46.61	N242W
2700	43.07	N242W
2750	35.01	N242W
2800	30.1	N242W
2850	23.32	N242W
2900	16.93	N242W
2950	11.36	N242W
3000	7.15	N242W
3050	5.04	N242W
1937	0.01	N219M
2000	0.80	N219M
2001	1.56	N219M
2009	2.04	N219M
2019	2.40	N219M
2047	3.72	N219M
2056	6.75	N219M
2065	7.14	N219M
2074	7.74	N219M
2087	8.14	N219M
2114	10.82	N219M
2124	11.06	N219M
2133	11.52	N219M
2147	11.98	N219M
2159	12.44	N219M
2191	13.72	N219M
2202	13.72	N219M
2216	12.99	N219M
2232	12.76	N219M
2284	11.79	N219M
2295	11.27	N219M
2311	10.48	N219M
2319	9.17	N219M
2367	0.76	N219M
2382	0.25	N219M
2395	0.25	N219M
2410	0.25	N219M
2148	0.39	N245M
2191	0.40	N245M
2209	1.21	N245M
2221	2.23	N245M
2235	3.44	N245M
2275	14.54	N245M
2282	16.3	N245M
2289	17.84	N245M
2294	19.61	N245M
2301	21.37	N245M
2308	23.13	N245M
2313	25.33	N245M
2320	26.66	N245M
2369	37.13	N245M
2381	39.26	N245M
2388	40.95	N245M
2400	42.65	N245M
2409	44.14	N245M
2440	44.9	N245M
2452	46.31	N245M
2466	47.72	N245M
2485	48.53	N245M
2506	48.72	N245M
2520	49.91	N245M
2541	49.63	N245M
2560	49.82	N245M
2569	49.98	N245M
2576	45.74	N245M
2579	42.95	N245M
2581	40.53	N245M
2584	35.7	N245M
2586	32.54	N245M
2588	30.31	N245M
2591	26.58	N245M
2593	21.01	N245M
2595	18.03	N245M
2598	17.11	N245M
2600	13.76	N245M
2602	9.11	N245M
2605	7.81	N245M
2607	6.51	N245M
2609	5.02	N245M
2616	3.16	N245M
2619	1.86	N245M
2633	0.50	N245M
2656	0.33	N245M
2685	0.15	N245M
2711	0.00	N245M
2462	0.11	N263M
2496	12.12	N263M
2497	10.15	N263M
2498	13.8	N263M
2499	15.49	N263M
2500	17.45	N263M
2502	19.28	N263M
2504	22.51	N263M
2536	38.61	N263M
2551	40.24	N263M
2602	41.07	N263M
2649	38.28	N263M
2703	35.97	N263M
2752	29.31	N263M
2797	11.85	N263M
2798	10.3	N263M
2800	7.95	N263M
2802	6.18	N263M
2805	5.13	N263M
2846	0.00	N263M
2705	0.10	N279N
2712	0.19	N279N
2719	0.17	N279N
2728	0.47	N279N
2733	0.98	N279N
2739	2.53	N279N
2741	3.74	N279N
2743	5.47	N279N
2745	7.46	N279N
2746	8.89	N279N
2747	10.4	N279N
2748	12.00	N279N
2749	14.64	N279N
2750	14.38	N279N
2751	17.06	N279N
2752	19.27	N279N
2754	21.47	N279N
2756	23.29	N279N
2759	25.02	N279N
2761	25.88	N279N
2764	26.74	N279N
2770	27.42	N279N
2778	24.01	N279N
2786	24.22	N279N
2794	24.06	N279N
2799	23.61	N279N
2803	23.08	N279N
2807	22.48	N279N
2813	22.17	N279N
2819	22.54	N279N
2822	23.13	N279N
2826	18.14	N279N
2830	17.68	N279N
2835	15.19	N279N
2838	12.17	N279N
2840	10.22	N279N
2842	8.20	N279N
2845	5.95	N279N
2849	3.75	N279N
2852	2.48	N279N
2856	1.38	N279N
2867	0.62	N279N
2874	0.32	N279N
2882	0.18	N279N
2889	0.09	N279N
2897	0.09	N279N
